b_totalOutMissed_Intercept,b_totalEmerg_Intercept,b_totalOutMissed_SexFac1,b_totalOutMissed_ageScaledCentre,b_totalOutMissed_SIMDFac2,b_totalOutMissed_SIMDFac3,b_totalOutMissed_SIMDFac4,b_totalOutMissed_SIMDFac5,b_totalOutMissed_UrbRurRural,b_totalOutMissed_logtimeYears,b_totalEmerg_SexFac1,b_totalEmerg_ageScaledCentre,b_totalEmerg_SIMDFac2,b_totalEmerg_SIMDFac3,b_totalEmerg_SIMDFac4,b_totalEmerg_SIMDFac5,b_totalEmerg_UrbRurRural,b_totalEmerg_logtimeYears,sd_patientid__totalOutMissed_Intercept,sd_patientid__totalEmerg_Intercept,cor_patientid__totalOutMissed_Intercept__totalEmerg_Intercept
-0.6079214870642484,0.7137182816199579,0.035937280662367246,-0.11852195019200291,-0.42181947965528754,-0.2898379645058186,-0.5989897307505905,-0.5563625351728118,-0.6985545408533294,0.6659004970305779,-0.07662931477849463,0.2696164358878291,-0.6535252198222661,-0.4069805206543646,-0.6512319132760136,-0.9228722694216777,-0.5943110993836828,0.6781224127410933,1.1972112656555727,1.1126829186748255,0.6767725276523373
-0.6867906062143152,0.6131291595810984,0.03330560549659227,-0.07579866987405598,-0.6277928362185845,-0.33795254824947357,-0.6681957785477475,-0.6197678245484001,-0.3796841951511582,0.7447608181835437,-0.08471233142596053,0.23740339089915785,-0.5031678344406468,-0.4903635556807726,-0.6055486086987214,-0.7329822659960405,-0.3074544273322797,0.6438692023541212,1.1753973079912314,1.1305060252677912,0.6581565611521458
-0.42131372252331745,0.8290180247587691,0.16870990689287643,-0.17432162486096833,-0.543596699929967,-0.6875441827517951,-0.6761942295396808,-0.8172439551134429,-0.5831187183817448,0.6358486000885228,0.08858249050839392,0.14113780540413795,-0.3346723013787918,-0.8519080150057295,-0.5988437203293252,-0.6531306574488651,-0.13622376947028156,0.48031270093349865,1.1712766386867872,1.1379669571019762,0.6704180520363062
-0.594728430719597,0.5590176040409114,0.14300413325910563,-0.10337426906712772,-0.670515739290737,-0.31139742097138007,-0.8292287082514074,-0.6630558158224331,-0.5648639429367188,0.7209253991848891,0.06829786269232128,0.189437938268819,-0.23475214862374935,-0.4645871888028048,-0.4496442583315963,-0.6841520691071952,-0.16290350146840868,0.542092086611715,1.2698082486277869,1.1721686718855728,0.6164824164015019
-0.6505150479092929,0.4918747552529175,0.1427465597952402,-0.11075312667936037,-0.4962696036167149,-0.5123969086095108,-0.8159315588264909,-0.7166575098676706,-0.42436938682045955,0.6847877465038725,0.13635431718065671,0.207879222225931,-0.13684275163761161,-0.519082560882005,-0.5377424298699169,-0.744718954667603,-0.05442822936950936,0.55594913619361,1.2936437885926069,1.175173066140035,0.6906179394363027
-0.9601747139336505,0.5290693042660186,0.29043019851159285,-0.17121928449691945,-0.36092199733982677,-0.35140271156268177,-0.47804876707447763,-0.26521526261766476,-0.6282546324967142,0.750156455403843,0.01662235735662637,0.1762386979390036,-0.1371841629863207,-0.5602245778480069,-0.4593287855150682,-0.4563996670621897,-0.3588986598127571,0.5718311594764263,1.3435429877511604,1.0651559788430225,0.5977485497993442
-0.6912113990441231,0.5347306287141758,0.11515611444689118,-0.21102487999974576,-0.44766947756198483,-0.12830918799448132,-0.2893706744171604,-0.2920331742960304,-0.6774582772189373,0.5707643598447978,0.04536376550432925,0.16661139546268075,-0.31812654647025473,-0.40068798114105264,-0.3585831895878816,-0.5172167166688167,-0.3152159307278958,0.504432015881068,1.2432687129092053,1.077554067223153,0.6205965075366509
-0.40193842123108514,0.760046645646788,0.35020029819386217,-0.1360791893170693,-0.8234336639561245,-0.4509903127692314,-0.9454650291546247,-0.7810254839996851,-0.49144037660697043,0.6466004392348196,0.035366246282796644,0.21283700270278277,-0.401188363939562,-0.7772429745635936,-0.946225717392457,-0.7727238337933096,-0.09467795604727672,0.5882923353934192,1.1552114861327933,1.0845222501216818,0.5783703954181842
-0.8700795391439481,0.7626937868565545,0.2260234786147678,-0.09152416500860011,-0.7138320917695196,-0.28436659215855153,-0.7358657381465457,-0.719261620811328,-0.7194669458185164,0.8580262295093068,0.1251279417380947,0.18716615647642929,-0.4764964947171686,-0.7433837174459607,-0.9636421463641048,-0.8068298626540098,-0.057100433822111586,0.57622172349678,1.263668765747286,1.107888035950903,0.6047938327971827
-0.43765069585755756,0.7561193111773188,0.28864285834972697,-0.0989163726765324,-0.8869387938057457,-0.5394020291944638,-1.1618143989142675,-0.7252021004993374,-0.4828793820151277,0.698334270998405,0.13460839136791264,0.21040769269194598,-0.5001474157327984,-0.7997592432042255,-0.6778008406030296,-0.8744968972721491,-0.2724205843249691,0.5476268123567241,1.1954736175344292,1.1459402459747483,0.594590298308422
-0.5015856826010792,0.7796554132523741,0.23477593991724666,-0.11990683933004101,-0.4459655401699822,-0.34296798346618523,-1.016559098486516,-0.5374036198096204,-0.5195291992682496,0.5698839776253428,0.09076232700903065,0.13808033368171654,-0.4842410925858319,-0.7205241092826172,-0.6628537736266686,-0.797236857525229,-0.21205984875367903,0.4969710033766555,1.123798896661421,1.0901027463045878,0.5746574579680176
-0.3893191472411689,0.8033180144710047,0.23752045239463618,-0.07551014711765845,-0.4507050337119044,-0.3685826769442075,-1.1170540844020969,-0.5757245134439639,-0.3872925474666259,0.5378751334245642,0.07339404926435945,0.1553297445789593,-0.548799657809604,-0.610525283546534,-0.642876584599224,-0.8885712590541673,-0.25658150916493805,0.4944555761889029,1.1374472886238092,1.0920204533839772,0.5848165217884517
-0.5792327807529115,0.4907533638600446,0.19007816332397326,-0.11495315609777618,-0.6789264159666484,-0.6791822077565767,-0.6749476149032264,-0.7699078444954073,-0.35183800714691715,0.6210820205108988,0.031593330252858765,0.2213841220482265,-0.2571958951182412,-0.5489137618533607,-0.7148070240947985,-0.7375734991221091,-0.12785615138280432,0.6213820085759735,1.2071267027788395,1.0896251204510186,0.5386899310991208
