b_totalOutMissed_Intercept,b_totalEmerg_Intercept,b_totalOutMissed_SexFac1,b_totalOutMissed_ageScaledCentre,b_totalOutMissed_SIMDFac2,b_totalOutMissed_SIMDFac3,b_totalOutMissed_SIMDFac4,b_totalOutMissed_SIMDFac5,b_totalOutMissed_UrbRurRural,b_totalEmerg_SexFac1,b_totalEmerg_ageScaledCentre,b_totalEmerg_SIMDFac2,b_totalEmerg_SIMDFac3,b_totalEmerg_SIMDFac4,b_totalEmerg_SIMDFac5,b_totalEmerg_UrbRurRural,sd_patientid__totalOutMissed_Intercept,sd_patientid__totalEmerg_Intercept,cor_patientid__totalOutMissed_Intercept__totalEmerg_Intercept
-0.9626868413719353,0.36639115012553614,-0.05395234055465576,-0.13172242868502157,-0.3854847518260447,-0.613319432696895,-0.702923945533419,-0.9510634803593412,-0.5762285152464633,0.013193215548419674,0.22778448440770252,-0.4113316275033935,-0.5503198078292852,-1.1068472011164516,-1.0602987780551938,-0.3575736581488769,1.3149161899318167,1.1593675567976367,0.6539655762799439
-1.0607915732961293,-0.0013617258024183343,0.0029873938342610163,-0.16442993097898523,-0.35072675786626006,-0.42626847110142513,-0.6881303825187637,-0.6315019667454446,-0.4870625613837699,-0.1535331571138937,0.15618626185373866,0.056604559115022914,-0.5388191554258364,-0.8371805587808236,-0.6711301978833476,-0.3674810470919284,1.2400616348431404,1.2492684368567182,0.6809618859777802
-1.2805064631218448,-0.07229548293754368,0.206112072339183,-0.18768714078214052,0.0012322959755082423,-0.3019996569267412,-0.517888594887117,-0.45280199602442506,-0.8562894728505249,-0.10347667116335059,0.18309299283022457,-0.006787858885419844,-0.2744136177653222,-0.48983332142079866,-0.6638339185697237,-0.3116851042027414,1.2781896339473269,1.2377086049257096,0.7117499366013106
-1.3625896737457455,-0.14548429979137373,0.1922089306864833,-0.11832305649215606,-0.09920045468974621,-0.4323976144591669,-0.38313204547236673,-0.26467134729989267,-0.5032059276231924,0.05889093062257886,0.19195935561694086,0.03707658572239981,-0.3219693314470841,-0.4496305800598618,-0.5925943793741899,-0.22124452774237865,1.3575141824236872,1.2211164511339727,0.7138204714965755
-1.2299057027065465,-0.14531130494696715,0.2612166282976722,-0.18834204153384737,-0.30629535545353437,-0.442685179001122,-0.5018589772400742,-0.21785413828932826,-0.4886741900967156,0.024564962878528534,0.1861333229167903,-0.1190413280447894,-0.5633252736497136,-0.5253596885456654,-0.4417107797921843,-0.04228282242882486,1.294464878391192,1.2393579514637008,0.7243380595728196
-1.3843519345694462,0.041400703449371634,0.05515892752904941,-0.19480227726725996,0.12534462511983707,-0.3305761392319425,-0.43028299785693946,-0.29481942288968943,-0.5034804972905986,-0.1007890787820114,0.18718057008235295,-0.1866201292166893,-0.6165062844552373,-0.7795490199049824,-0.7230600072298069,-0.1593832580726949,1.2756374746258679,1.2301339439070333,0.7344375784219557
-1.2555852225101674,0.0417443591808499,0.06550166427539708,-0.19630631810963434,-0.05927765670553546,-0.2640378133292347,-0.7238195595245794,-0.3163898998369929,-0.48257193683892874,-0.1146950877116302,0.18940092001393039,-0.24529861704610392,-0.6733288445206763,-0.7467766940515018,-0.7523094049044758,-0.01580486527841289,1.2998247027526704,1.2843878183546316,0.6989844429059844
-1.379121365113186,-0.14511682185400493,0.2132984732662301,-0.21359932431446488,-0.00891295454103013,-0.1472933980810288,-0.5136549775372159,-0.16314757480469697,-0.2541298533240516,0.039397069507130705,0.17964302508641725,-0.2566305961625852,-0.2669537286098966,-0.3180792155494532,-0.5993129316391999,-0.2328791034571671,1.229616293786647,1.2815787510618086,0.6664016577024181
-1.0767334875117103,-0.06421703477534396,0.07901175078548565,-0.17827232611611907,-0.39176799805450635,-0.23852462372370334,-0.6803638630025312,-0.45310045931050713,-0.8112878124834626,-0.004490698249485326,0.23274857909985205,0.08955383167980438,-0.1627826502703465,-0.42547497263822065,-0.5126983661419051,-0.42512840515961114,1.3174432032790977,1.2908765559999411,0.754956556822078
-1.044069635999914,-0.017013693331940083,-0.006506103000839388,-0.16882371772955712,-0.30134760654197984,-0.29463604201084126,-0.9012659163895809,-0.5890670771286599,-0.8783433399086059,0.006135814431923667,0.18011686522496492,-0.00390889206753248,-0.3284328433021686,-0.5297383608224248,-0.7966059783725983,-0.3284246984201802,1.2923794371371757,1.2711303998303296,0.6815084362736239
-0.9596946921303692,-0.06697778563340068,0.07260433296913744,-0.15196786672780085,-0.6285609903694852,-0.22512770782613667,-0.7759688999206147,-0.6629618425926468,-0.8300183937063712,0.06486491514487638,0.23196256794800554,0.0036816744264223933,-0.2082308324152624,-0.49039201015739675,-0.5730874822253476,-0.4122709486677735,1.311299069533932,1.2907711196772715,0.6790766989997132
-1.031367675398658,-0.002254578904156035,-0.05183041621541459,-0.1370560331729672,-0.6428248524064665,-0.13043521643686118,-0.749158479982951,-0.483378041461291,-0.7200863741425709,-0.06504406165040232,0.2057308320719978,-0.10072552879421472,-0.2047010985238139,-0.5538464698100767,-0.6597914922929119,-0.5278796657264634,1.398766087361756,1.286387407800677,0.7114298859900329
-1.1096784646965876,-0.004941441705878735,0.060947839937430866,-0.17617873289335356,-0.5014188159561713,-0.07343883336937546,-0.6456121350736214,-0.401867009049154,-0.8697245782527279,-0.08437721467474768,0.2299830250648467,-0.10454112019523701,-0.398077238194073,-0.5133160802496558,-0.6950026505458269,-0.21496804464152533,1.34063177369831,1.3502801793383263,0.6791359378326303
-1.2365887221090204,-0.04611411124025089,0.05457315425916164,-0.18552964100735037,-0.4307027296990403,-0.006463922603070285,-0.8033780096179887,-0.29419486179226406,-0.8110879152071575,-0.07344201764346245,0.2041684338187436,-0.06714390278869012,-0.3519561010807207,-0.5411015293236702,-0.5491259991921773,-0.1734290376037969,1.452632305168324,1.3488033183244865,0.6562152927140693
-1.2044411332128393,-0.1260986511540193,0.12411547433707433,-0.18698995948207842,-0.621137882226377,-0.14265266053281547,-0.7099582116891889,-0.3467470473810099,-0.7658644822451786,-0.0660206108524285,0.19123372153046855,0.03334672974852129,-0.4920773420526261,-0.5156347150016657,-0.5096328658025218,-0.1986561969422347,1.396382480140972,1.314189142256237,0.65957328625596
